"STATDISPID","statcode","TITLE","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","CYCLE","SURVEY_DATE","UPDATED_DATE"
"0004018318","00550300","業種別季節調整済指数【四半期】 付加価値額生産（2015＝100.0）","鉱工業生産・出荷・在庫指数","2015年基準時系列データ（2013年１月～）","-",,"2024-07-05"
"0004018319","00550300","業種別季節調整済指数【四半期】 出荷（2015＝100.0）","鉱工業生産・出荷・在庫指数","2015年基準時系列データ（2013年１月～）","-",,"2024-07-05"
"0004018320","00550300","業種別季節調整済指数【四半期】 在庫（期末）（2015＝100.0）","鉱工業生産・出荷・在庫指数","2015年基準時系列データ（2013年１月～）","-",,"2024-07-05"
"0004018321","00550300","業種別季節調整済指数【四半期】 在庫（平均）（2015＝100.0）","鉱工業生産・出荷・在庫指数","2015年基準時系列データ（2013年１月～）","-",,"2024-07-05"
"0004018322","00550300","業種別季節調整済指数【四半期】 在庫率（2015＝100.0）","鉱工業生産・出荷・在庫指数","2015年基準時系列データ（2013年１月～）","-",,"2024-07-05"
"0004018323","00550300","業種別原指数【年・年度・四半期】 付加価値額生産（2015＝100.0）","鉱工業生産・出荷・在庫指数","2015年基準時系列データ（2013年１月～）","-",,"2024-07-05"
"0004018324","00550300","業種別原指数【年・年度・四半期】 出荷（2015＝100.0）","鉱工業生産・出荷・在庫指数","2015年基準時系列データ（2013年１月～）","-",,"2024-07-05"
"0004018325","00550300","業種別原指数【年・年度・四半期】 在庫（期末）（2015＝100.0）","鉱工業生産・出荷・在庫指数","2015年基準時系列データ（2013年１月～）","-",,"2024-07-05"
"0004018326","00550300","業種別原指数【年・年度・四半期】 在庫（平均）（2015＝100.0）","鉱工業生産・出荷・在庫指数","2015年基準時系列データ（2013年１月～）","-",,"2024-07-05"
"0004018327","00550300","業種別原指数【年・年度・四半期】 在庫率（2015＝100.0）","鉱工業生産・出荷・在庫指数","2015年基準時系列データ（2013年１月～）","-",,"2024-07-05"
"0004018328","00550300","財別季節調整済指数【四半期】 付加価値額生産（2015＝100.0）","鉱工業生産・出荷・在庫指数","2015年基準時系列データ（2013年１月～）","-",,"2024-07-05"
"0004018329","00550300","財別季節調整済指数【四半期】 出荷（2015＝100.0）","鉱工業生産・出荷・在庫指数","2015年基準時系列データ（2013年１月～）","-",,"2024-07-05"
"0004018330","00550300","財別季節調整済指数【四半期】 在庫（期末）（2015＝100.0）","鉱工業生産・出荷・在庫指数","2015年基準時系列データ（2013年１月～）","-",,"2024-07-05"
"0004018331","00550300","財別季節調整済指数【四半期】 在庫（平均）（2015＝100.0）","鉱工業生産・出荷・在庫指数","2015年基準時系列データ（2013年１月～）","-",,"2024-07-05"
"0004018332","00550300","財別季節調整済指数【四半期】 在庫率（2015＝100.0）","鉱工業生産・出荷・在庫指数","2015年基準時系列データ（2013年１月～）","-",,"2024-07-05"
"0004018333","00550300","財別原指数【年・年度・四半期】 付加価値額生産（2015＝100.0）","鉱工業生産・出荷・在庫指数","2015年基準時系列データ（2013年１月～）","-",,"2024-07-05"
"0004018334","00550300","財別原指数【年・年度・四半期】 出荷（2015＝100.0）","鉱工業生産・出荷・在庫指数","2015年基準時系列データ（2013年１月～）","-",,"2024-07-05"
"0004018335","00550300","財別原指数【年・年度・四半期】 在庫（期末）（2015＝100.0）","鉱工業生産・出荷・在庫指数","2015年基準時系列データ（2013年１月～）","-",,"2024-07-05"
"0004018336","00550300","財別原指数【年・年度・四半期】 在庫（平均）（2015＝100.0）","鉱工業生産・出荷・在庫指数","2015年基準時系列データ（2013年１月～）","-",,"2024-07-05"
"0004018337","00550300","財別原指数【年・年度・四半期】 在庫率（2015＝100.0）","鉱工業生産・出荷・在庫指数","2015年基準時系列データ（2013年１月～）","-",,"2024-07-05"
"0004018338","00550300","品目別季節調整済指数【四半期】 付加価値額生産（2015＝100.0）","鉱工業生産・出荷・在庫指数","2015年基準時系列データ（2013年１月～）","-",,"2024-07-05"
"0004018339","00550300","品目別季節調整済指数【四半期】 出荷（2015＝100.0）","鉱工業生産・出荷・在庫指数","2015年基準時系列データ（2013年１月～）","-",,"2024-07-05"
"0004018340","00550300","品目別季節調整済指数【四半期】 在庫（期末）（2015＝100.0）","鉱工業生産・出荷・在庫指数","2015年基準時系列データ（2013年１月～）","-",,"2024-07-05"
"0004018341","00550300","品目別季節調整済指数【四半期】 在庫（平均）（2015＝100.0）","鉱工業生産・出荷・在庫指数","2015年基準時系列データ（2013年１月～）","-",,"2024-07-05"
"0004018342","00550300","品目別季節調整済指数【四半期】 在庫率（2015＝100.0）","鉱工業生産・出荷・在庫指数","2015年基準時系列データ（2013年１月～）","-",,"2024-07-05"
"0004018343","00550300","品目別原指数【年・年度・四半期】 付加価値額生産（2015＝100.0）","鉱工業生産・出荷・在庫指数","2015年基準時系列データ（2013年１月～）","-",,"2024-07-05"
"0004018344","00550300","品目別原指数【年・年度・四半期】 出荷（2015＝100.0）","鉱工業生産・出荷・在庫指数","2015年基準時系列データ（2013年１月～）","-",,"2024-07-05"
"0004018345","00550300","品目別原指数【年・年度・四半期】 在庫（期末）（2015＝100.0）","鉱工業生産・出荷・在庫指数","2015年基準時系列データ（2013年１月～）","-",,"2024-07-05"
"0004018346","00550300","品目別原指数【年・年度・四半期】 在庫（平均）（2015＝100.0）","鉱工業生産・出荷・在庫指数","2015年基準時系列データ（2013年１月～）","-",,"2024-07-05"
"0004018347","00550300","品目別原指数【年・年度・四半期】 在庫率（2015＝100.0）","鉱工業生産・出荷・在庫指数","2015年基準時系列データ（2013年１月～）","-",,"2024-07-05"
